Item_1,Item_2,Value
IS,SN,94.44444444
IS,MI,94.44444444
IS,MS,58.33333333
IS,MC,84.72222222
IS,MR,86.11111111
IS,TI,81.94444444
IS,OP,91.66666667
SN,MI,90.27777778
SN,MS,94.44444444
SN,MC,94.44444444
SN,MR,93.05555556
SN,TI,84.72222222
SN,OP,91.66666667
MI,MS,90.27777778
MI,MC,91.66666667
MI,MR,87.5
MI,TI,87.5
MI,OP,88.88888889
MS,MC,84.72222222
MS,MR,88.88888889
MS,TI,84.72222222
MS,OP,83.33333333
MC,MR,95.83333333
MC,TI,90.27777778
MC,OP,80.55555556
MR,TI,81.94444444
MR,OP,86.11111111
TI,OP,77.77777778
